Index,Stroke,Club,Phase,Start Loc,Start Dist,End Loc,End Dist,Strokes Gained,Tee,Course,Date,Hole,Strokes to Hole
10,10,SW,Short Game,Fairway,20,Green,25,-0.534,Palmer,LaurelCreek,11/11/2018,2,3
11,11,Putter,Green,Green,25,Green,2,-0.075,Palmer,LaurelCreek,11/11/2018,2,2
12,12,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,11/11/2018,2,1
13,13,7i,Tee,Tee,163,Green,25,0.065,Palmer,LaurelCreek,11/11/2018,3,4
14,14,Putter,Green,Green,25,Green,5,-0.322,Palmer,LaurelCreek,11/11/2018,3,3
15,15,Putter,Green,Green,5,Green,1,-0.745,Palmer,LaurelCreek,11/11/2018,3,2
16,16,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,11/11/2018,3,1
17,17,Driver,Tee,Tee,390,Rough,170,-0.29,Palmer,LaurelCreek,11/11/2018,4,4
18,18,6i,APPR125-175,Rough,170,Green,10,0.644,Palmer,LaurelCreek,11/11/2018,4,3
19,19,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,11/11/2018,4,2
20,20,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,11/11/2018,4,1
21,21,Driver,Tee,Tee,510,Fairway,243,0.011,Palmer,LaurelCreek,11/11/2018,5,5
22,22,6i,APPR210+,Fairway,243,Fairway,60,-0.231,Palmer,LaurelCreek,11/11/2018,5,4
23,23,SW,Short Game,Fairway,60,Green,15,-0.09,Palmer,LaurelCreek,11/11/2018,5,3
24,24,Putter,Green,Green,15,Green,2,-0.219,Palmer,LaurelCreek,11/11/2018,5,2
25,25,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,11/11/2018,5,1
26,26,Driver,Tee,Tee,410,Fairway,170,-0.02,Palmer,LaurelCreek,11/11/2018,6,3
27,27,6i,APPR125-175,Fairway,170,Green,1,1.029,Palmer,LaurelCreek,11/11/2018,6,2
28,28,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,11/11/2018,6,1
29,29,4i,Tee,Tee,201,Rough,30,-0.577,Palmer,LaurelCreek,11/11/2018,7,5
30,30,LW,Short Game,Rough,30,Rough,10,-0.64,Palmer,LaurelCreek,11/11/2018,7,4
31,31,LW,Short Game,Rough,10,Green,25,-0.594,Palmer,LaurelCreek,11/11/2018,7,3
32,32,Putter,Green,Green,25,Green,4,-0.213,Palmer,LaurelCreek,11/11/2018,7,2
33,33,Putter,Green,Green,4,In the Hole,0,0.147,Palmer,LaurelCreek,11/11/2018,7,1
34,34,3W,Tee,Tee,340,Fairway,125,-0.005,Palmer,LaurelCreek,11/11/2018,8,5
35,35,AW,APPR125-175,Fairway,125,Fairway,10,-0.315,Palmer,LaurelCreek,11/11/2018,8,4
36,36,Putter,Short Game,Fairway,10,Green,10,-0.446,Palmer,LaurelCreek,11/11/2018,8,3
37,37,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,11/11/2018,8,2
38,38,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,11/11/2018,8,1
39,39,Driver,Tee,Tee,510,Fairway,220,0.16,Palmer,LaurelCreek,11/11/2018,9,5
40,40,4i,APPR210+,Fairway,220,Green,50,0.185,Palmer,LaurelCreek,11/11/2018,9,4
41,41,Putter,Green,Green,50,Green,10,-0.491,Palmer,LaurelCreek,11/11/2018,9,3
42,42,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,11/11/2018,9,2
43,43,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,11/11/2018,9,1
44,44,Driver,Tee,Tee,410,Rough,153,-0.192,Palmer,LaurelCreek,11/11/2018,10,4
